7.0,-19.0,-9.93
7.0,-18.0,-9.48
7.0,-17.0,-9.03
7.0,-16.0,-8.58
7.0,-15.0,-8.15
7.0,-14.0,-7.72
7.0,-13.0,-7.3
7.0,-12.0,-6.89
7.0,-11.0,-6.49
7.0,-10.0,-6.1
7.0,-9.0,-5.72
7.0,-8.0,-5.35
7.0,-7.0,-5.0
7.0,-6.0,-4.65
7.0,-5.0,-4.32
7.0,-4.0,-4.0
7.0,-3.0,-3.69
7.0,-2.0,-3.39
7.0,-1.0,-3.09
7.0,0.0,-2.81
7.0,1.0,-2.54
7.0,2.0,-2.27
7.0,3.0,-2.01
7.0,4.0,-1.75
7.0,5.0,-1.5
7.0,6.0,-1.25
7.0,7.0,-1.01
7.0,8.0,-0.77
7.0,9.0,-0.53
7.0,10.0,-0.3
7.0,11.0,-0.07
7.0,12.0,0.16
7.0,13.0,0.39
7.0,14.0,0.61
7.0,15.0,0.83
7.0,16.0,1.04
7.0,17.0,1.25
7.0,18.0,1.45
7.0,19.0,1.64
7.0,20.0,1.83
7.0,21.0,2.0
7.0,22.0,2.16
7.0,23.0,2.3
7.0,24.0,2.43
7.0,25.0,2.55
7.0,26.0,2.64
7.0,27.0,2.72
7.0,28.0,2.78
7.0,29.0,2.82
7.0,30.0,2.83
7.0,31.0,2.83
7.0,32.0,2.8
7.0,33.0,2.75
7.0,34.0,2.68
7.0,35.0,2.59
7.0,36.0,2.49
7.0,37.0,2.36
7.0,38.0,2.22
7.0,39.0,2.06
7.0,40.0,1.89
7.0,41.0,1.7
7.0,42.0,1.51
7.0,43.0,1.31
7.0,44.0,1.11
7.0,45.0,0.9
7.0,46.0,0.7
7.0,47.0,0.49
7.0,48.0,0.28
7.0,49.0,0.09
7.0,50.0,-0.11
7.0,51.0,-0.29
7.0,52.0,-0.47
7.0,53.0,-0.64
7.0,54.0,-0.8
7.0,55.0,-0.95
7.0,56.0,-1.08
7.0,57.0,-1.21
7.0,58.0,-1.32
7.0,59.0,-1.43
7.0,60.0,-1.53
7.0,61.0,-1.61
7.0,62.0,-1.69
7.0,63.0,-1.76
7.0,64.0,-1.82
7.0,65.0,-1.87
7.0,66.0,-1.92
7.0,67.0,-1.96
7.0,68.0,-1.99
7.0,69.0,-2.02
7.0,70.0,-2.04
7.0,71.0,-2.06
7.0,72.0,-2.07
7.0,73.0,-2.08
7.0,74.0,-2.08
7.0,75.0,-2.08
7.0,76.0,-2.06
7.0,77.0,-2.04
7.0,78.0,-2.02
7.0,79.0,-1.99
7.0,80.0,-1.95
7.0,81.0,-1.9
7.0,82.0,-1.84
7.0,83.0,-1.78
7.0,84.0,-1.71
7.0,85.0,-1.63
7.0,86.0,-1.54
7.0,87.0,-1.45
7.0,88.0,-1.36
7.0,89.0,-1.26
7.0,90.0,-1.16
7.0,91.0,-1.05
7.0,92.0,-0.95
7.0,93.0,-0.84
7.0,94.0,-0.74
7.0,95.0,-0.64
7.0,96.0,-0.55
7.0,97.0,-0.46
7.0,98.0,-0.38
7.0,99.0,-0.31
7.0,100.0,-0.26
7.0,101.0,-0.21
7.0,102.0,-0.17
7.0,103.0,-0.15
7.0,104.0,-0.14
7.0,105.0,-0.14
7.0,106.0,-0.15
7.0,107.0,-0.18
7.0,108.0,-0.21
7.0,109.0,-0.26
7.0,110.0,-0.31
7.0,111.0,-0.37
7.0,112.0,-0.44
7.0,113.0,-0.51
7.0,114.0,-0.59
7.0,115.0,-0.66
7.0,116.0,-0.73
7.0,117.0,-0.8
7.0,118.0,-0.86
7.0,119.0,-0.91
7.0,120.0,-0.96
7.0,121.0,-0.99
7.0,122.0,-1.01
7.0,123.0,-1.02
7.0,124.0,-1.01
7.0,125.0,-0.99
7.0,126.0,-0.95
7.0,127.0,-0.9
7.0,128.0,-0.82
7.0,129.0,-0.74
7.0,130.0,-0.63
7.0,131.0,-0.52
7.0,132.0,-0.38
7.0,133.0,-0.23
7.0,134.0,-0.07
7.0,135.0,0.1
7.0,136.0,0.29
7.0,137.0,0.48
7.0,138.0,0.69
7.0,139.0,0.9
7.0,140.0,1.12
7.0,141.0,1.35
7.0,142.0,1.59
7.0,143.0,1.83
7.0,144.0,2.07
7.0,145.0,2.32
7.0,146.0,2.57
7.0,147.0,2.82
7.0,148.0,3.08
7.0,149.0,3.33
7.0,150.0,3.59
7.0,151.0,3.85
7.0,152.0,4.11
7.0,153.0,4.38
7.0,154.0,4.64
7.0,155.0,4.9
7.0,156.0,5.16
7.0,157.0,5.41
7.0,158.0,5.67
7.0,159.0,5.92
7.0,160.0,6.17
7.0,161.0,6.42
7.0,162.0,6.65
7.0,163.0,6.89
7.0,164.0,7.11
7.0,165.0,7.33
7.0,166.0,7.54
7.0,167.0,7.74
7.0,168.0,7.93
7.0,169.0,8.11
7.0,170.0,8.28
7.0,171.0,8.43
7.0,172.0,8.57
7.0,173.0,8.7
7.0,174.0,8.82
7.0,175.0,8.92
7.0,176.0,9.0
7.0,177.0,9.08
7.0,178.0,9.14
7.0,179.0,9.19
7.0,180.0,9.23
